filename,label,transcript
real_angry_01.wav,distress,we are talking about in july
real_angry_02.wav,distress,it could be indicted do i
real_angry_03.wav,distress,to get hopping mad the door
real_angry_04.wav,distress,kids are talking by the door
real_angry_05.wav,distress,dogs are sitting by the door
real_angry_06.wav,distress,kids are talking by the door
real_fearful_01.wav,distress,toxicity not until when
real_fearful_02.wav,distress,did retired he might endure
real_fearful_03.wav,distress,kids and how he might into a wire
real_fearful_04.wav,distress,stone says sitting by the door
real_fearful_05.wav,distress,kids are taught him by the door
real_fearful_06.wav,distress,kids are talking by the door
real_calm_01.wav,normal,kids and hakim and diller
real_calm_02.wav,normal,dogs as city manager where
real_calm_03.wav,normal,kids are talking by the killer
real_calm_04.wav,normal,kids and hakim that the killer
real_calm_05.wav,normal,dogs is sitting by the door
real_calm_06.wav,normal,kids are talking by the door
real_calm_07.wav,normal,kids are taught him by the door
real_neutral_01.wav,normal,kids they're talking latin killer
real_neutral_02.wav,normal,case and talking by the door
real_neutral_03.wav,normal,kids are taught him by the door
real_neutral_04.wav,normal,kids are talking by the door
